City_ID,City,Lat,Lng,Feels Like,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
838,Cedar City,37.6775,-113.0619,54.34,38.26,60.4,23,1,0.0,US,clear sky,2021-12-05 20:28:42
839,Labytnangi,66.6572,66.4183,-33.56,-20.96,-20.96,96,24,8.77,RU,few clouds,2021-12-05 20:28:43
840,Vitim,59.4511,112.5578,6.84,6.84,6.84,97,100,2.44,RU,light snow,2021-12-05 20:28:43
841,Iaciara,-14.0958,-46.6317,79.18,78.26,78.26,72,68,2.24,BR,moderate rain,2021-12-05 20:28:43
842,Byron Bay,-28.65,153.6167,65.35,63.88,69.87,87,89,5.99,AU,overcast clouds,2021-12-05 20:27:45
843,Tacuarembo,-31.7333,-55.9833,82.42,82.8,82.8,42,30,7.63,UY,scattered clouds,2021-12-05 20:28:44
844,Vicuna,-30.0319,-70.7081,53.55,56.93,56.93,26,47,9.42,CL,scattered clouds,2021-12-05 20:28:44
845,Zdvinsk,54.7021,78.661,15.48,25.61,25.61,92,100,10.58,RU,overcast clouds,2021-12-05 20:28:45
846,Wewak,-3.5534,143.6268,79.54,79.54,79.54,89,99,7.16,PG,moderate rain,2021-12-05 20:28:45
847,Belebey,54.1167,54.1167,20.62,20.62,20.62,98,100,1.86,RU,overcast clouds,2021-12-05 20:28:45
848,Kardla,58.9978,22.7492,0.12,11.01,12.06,78,79,8.52,EE,broken clouds,2021-12-05 20:28:46
849,Harrisonville,38.6533,-94.3488,63.75,61.43,67.78,54,1,13.8,US,clear sky,2021-12-05 20:24:06
850,Santiago Del Estero,-27.7951,-64.2615,83.98,85.8,85.8,33,53,5.17,AR,broken clouds,2021-12-05 20:28:46
851,Morondava,-20.2833,44.2833,84.52,80.94,80.94,70,97,4.85,MG,overcast clouds,2021-12-05 20:28:46
852,Mumford,5.2618,-0.759,88.93,81.66,81.66,84,100,12.95,GH,overcast clouds,2021-12-05 20:28:47
853,Kiomboi,-4.2667,34.3667,68.13,69.3,69.3,47,98,6.06,TZ,overcast clouds,2021-12-05 20:28:47
854,Bhan,26.5583,67.7214,66.02,68.14,68.14,29,1,0.87,PK,clear sky,2021-12-05 20:28:47
855,Nybro,56.7446,15.9071,21.69,23.72,30.04,80,75,7.36,SE,broken clouds,2021-12-05 20:28:48
856,Doha,25.2867,51.5333,66.56,61.11,67.98,62,0,4.61,QA,clear sky,2021-12-05 20:28:48
857,Victor Harbor,-35.5667,138.6167,54.27,54.0,61.92,93,60,0.27,AU,broken clouds,2021-12-05 20:28:48
858,Codajas,-3.8367,-62.0569,93.47,85.68,85.68,68,80,2.42,BR,light rain,2021-12-05 20:28:49
859,Beidao,34.5686,105.8933,38.48,38.48,38.48,49,0,1.05,CN,clear sky,2021-12-05 20:28:49
860,Tulun,54.5611,100.5792,8.2,15.42,15.42,94,100,4.52,RU,overcast clouds,2021-12-05 20:28:49
